S/N,Question,Answer,,option_1,option_2,option_3,option_4,option_5
1,"Parí òwe yìí
 ""gbàmí gbàmí kò yé àgbà ..........""",Ẹranko ń lé mi bọ̀ ò yẹ ọdẹ,proverbs,...ṣùgbọ́n ó yé ọmọ tí kì í sùn ní alẹ́, kòtò jíjẹ̀ kò mọ́ aláìlówó.,Ẹranko ń lé mi bọ̀ ò yẹ ọdẹ,ọgbọ́n lá ń fi yàn là.,àgbà sọ pé “ta ló fi orúkọ mi ṣeré?
2,"Parí òwe Yorùbá yìí
 ""A kì í n pa odù òyà lójú ọ̀tá ẹni ....""",Ọmọ ẹlẹ́bọ́rọ́ lásán lapa,proverbs,"ẹni tí kò rò, kò gbọ́",ìmọ̀ràn l'ógún àbèwò,àbùjá ń yọ̀ lójú ọ̀dọ̀,Ọmọ ẹlẹ́bọ́rọ́ lásán lapa,kó má bẹ̀rẹ̀ sí í fẹ́ iyàwó ẹni
3,"Kíni ìyàtọ̀ láàrin ""ìwọ̀ àti iwọ""?","ìwọ̀ - Nkan ti won fi n pa eja
 iwọ - Majele",mc,"Ìwọ̀ – Ohun tí a fi ń mu omi 
Ìwọ – Ẹni tí a ń bá sọ̀rọ̀","Ìwọ̀ – Ọ̀nà tàbí irìn àjò kan 
Ìwọ – Fífi ẹ̀sùn kan ẹni kàn","ìwọ̀ - Nkan ti won fi n pa eja
 iwọ - Majele","Ìwọ̀ – Ohun ìdárayá
Ìwọ - Ohun èlò fún orin","Ìwọ̀ – Orúkọ ọmọbìnrin 
Ìwọ – Orúkọ ọmọkùnrin"
4,"Irúfé ìyàwó wo ni Yorùbá máa pè ní ""ìyàwó gbàmí oràmí""?",Ìyàwó tí a fẹ́ fún èrè ìwòsàn tàbí tí a fẹ́ láti ṣe àànú fun,mc,Ìyàwó tí a ra ní ọjà,Ìyàwó tí a gbé fun ìdàbòbò,Ìyàwó tí a fẹ́ fún èrè ìwòsàn tàbí tí a fẹ́ láti ṣe àànú fun,Ìyàwó tí a fé lórí pẹpẹ,Ìyàwó tí kò mọ ẹni tó fẹ́
5,"Ìlú wo ní ilẹ̀ Yorùbá ni wọ́n ti ń ṣe ọdún ""ìgogo""?",Ọ̀wọ̀ ní Ìpìnlẹ̀́ Oǹdó,mc,Ìjẹ̀bú-Òde ní Ìpínlẹ̀ Ògùn,Ọ̀wọ̀ ní Ìpìnlẹ̀́ Oǹdó,Ìlá-Òràngún ní Ìpínlẹ̀ Ọ̀ṣun,Ṣàbé ní Ìpínlẹ̀ Òyọ́,Ìkìrun ní Ìpínlẹ̀ Ọ̀ṣun
7,"Kíni ọ̀rọ̀ Yorùbá fún ""lake""?",Adágún omi,mc,Òkun,Adágún omi,Òdò ńlá,Ìsàlè omi ,Omi tó ṣubú sínú kòtò
8,"Ìgbó Òrà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 ""Kíni àkọlé orúkọ ọba ìlú Ìgbó Òrà?""",Olú,mc,Olú,Awujale,Àtòbàtẹ́lé,Alákòókò,Olóṣùpá
9,"Kíni ọ̀rọ̀ Yorùbá fún ""Flag""?",Àṣíá,mc,Àṣíá,Àpẹrẹ ,Àpótíṣẹ́,Ìfihàn ,Àmì ìbùkún
10,"Irú Àwọn wo ni a máa n pè tàbí sọ ní ""málà olú""?",Àwọn Ọlọ́bàtálá,mc,Àwọn ọmọ ìmàlè,Àwọn aládùrà,Àwọn Ọlọ́bàtálá,Àwọn Ẹlẹ̀sìn Ìbílẹ̀ ,Àwọn tó ń tà àmàlà níta ilé ẹjọ́
11,"Tí Yorùbá bá sọ pé a kìí rí ewú ní ọ̀sán, kíni ewú?",Òkété,mc,Ẹ̀ṣù,Àbíkú,Òkété,Àlùbárìka ,Ìbànújẹ́
12,"Parí òwe Yorùbá yìí
 Ọ̀lẹ̀ má mọ́wọ́ mi wọ̀gbẹ́",Òhun ló sọ ará oko di ewúrẹ́,proverbs,Òhun ló sọ ọmọ oba di alágbàro,Òhun ló sọ ará oko di ewúrẹ́,Òun ló sọ olówó di aláìní.,Òun ló sọ ọlọ́jà di ará oko,Òun ló jẹ́ kí alápatà pa ẹran ìgbẹ́
13,"Parí òwe Yorùbá yìí
 ""Bí oko bá dùn n ro ní .....""",Alágbèdẹ ò ní roko tà,proverbs,Alágbèdẹ ò ní roko tà,Olè ò ní rìn l’ọ̀nà,Àjẹ ò ní tàn l’óko,Ọmọ àlè ò ní gbàgbé ẹni tó bí i,Ọlọ́jà ò ní ra ọjà
14,"Kíni Yorùbá n pè ní ""èkùró""?",Kòkòrò ẹ̀wà,mc,Èkùró Ọ̀pẹ,Iyẹ̀pẹ̀,Kòkòrò ẹ̀wà,Yànmùyánmú,Ẹyẹ 
