Question,GPT-4o_Answer,Actual_Answer,Score
"Parí òwe yìí
 ""gbàmí gbàmí kò yé àgbà ..........""",òríkì.,Ẹranko ń lé mi bọ̀ ò yẹ ọdẹ,0
"Parí òwe Yorùbá yìí
 ""A kì í n pa odù òyà lójú ọ̀tá ẹni ....""","""a kíí sọ wọ́n lọ́rẹ.""",Ọmọ ẹlẹ́bọ́rọ́ lásán lapa,0
"Kíni ìyàtọ̀ láàrin ""ìwọ̀ àti iwọ""?","Ìyàtọ̀ kò sí. Wọ́n jẹ́ meaning kan náà, ó jẹ́ bí a ṣe ń sọ tàbí kọ ọ.","ìwọ̀ - Nkan ti won fi n pa eja
 iwọ - Majele",0
"Irúfé ìyàwó wo ni Yorùbá máa pè ní ""ìyàwó gbàmí oràmí""?",Ìyàwó náà tí a kì í ṣe ẹni tí a fẹ́ ṣùgbọ́n a kàn fẹ́ fún ìdí kan tàbí ìṣàkóso.,Ìyàwó tí a fẹ́ fún èrè ìwòsàn tàbí tí a fẹ́ láti ṣe àànú fun,0
"Ìlú wo ní ilẹ̀ Yorùbá ni wọ́n ti ń ṣe ọdún ""ìgogo""?",Ìlú Ìkàlé.,Ọ̀wọ̀ ní Ìpìnlẹ̀́ Oǹdó,0
"Kíni ọ̀rọ̀ Yorùbá fún ""lake""?",Adágún.,Adágún omi,0
"Ìgbó Òrà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 ""Kíni àkọlé orúkọ ọba ìlú Ìgbó Òrà?""",Ọba Dada.,Olú,0
"Kíni ọ̀rọ̀ Yorùbá fún ""Flag""?",Àsìá.,Àṣíá,0
"Irú Àwọn wo ni a máa n pè tàbí sọ ní ""málà olú""?","""Málà olú"" lóhun tí a máa n pè irú àwọn tí wọn bá ń ṣe ààrà tàbí dá ààbò bo ẹni kan fún àwùjọ wọn.",Àwọn Ọlọ́bàtálá,0
"Tí Yorùbá bá sọ pé a kìí rí ewú ní ọ̀sán, kíni ewú?",Ewú ni ewu tabi iṣoro tí ó le ṣẹlẹ́.,Òkété,0
"Parí òwe Yorùbá yìí
 Ọ̀lẹ̀ má mọ́wọ́ mi wọ̀gbẹ́",Ọ̀lẹ̀ má mọ́wọ́ mi wọ̀gbẹ́: àìbá di hìá nsí.,Òhun ló sọ ará oko di ewúrẹ́,0
"Parí òwe Yorùbá yìí
 ""Bí oko bá dùn n ro ní .....""","""....yóò da omi léhìn.""",Alágbèdẹ ò ní roko tà,0
"Kíni Yorùbá n pè ní ""èkùró""?","""Eèrú"" ni Yorùbá n pè ní ""èkùró"".",Kòkòrò ẹ̀wà,0
"Màá fún ẹ ní ẹ̀gbàá kì í jẹ́ kí ẹ̀gbàá níyì, ẹ̀gbèrún, mélòó lọ wà ní ""ẹgbàfà""?",Ẹgbẹ̀fa wà ní ẹ̀gbàfà (6000).,Mẹ́fà,0
"Kíni ìtumọ̀ òwe Yorùbá yìí ""ààlà ni yóò fi oko òlẹ hàn""?","Òwe yìí túmọ̀ sí pé ìgbà tí èèyàn bá ní ààyè tàbí ìgbà tó tó, a máa rí ìwà tàbí akíkanjú rẹ̀ gbòòrò, bí afúnni kùú pò.","Ààlà ló máa fi hàn pẹ́, ọ̀le ló ń ṣe iṣẹ́ oko yí",0
"Tí Yorùbá bá sọ pé ènìyàn n ""run ìlèpa,"" kínì ìtumọ̀ àkànlò-èdè yìí?",Ìtumọ̀ rè ni pé ènìyàn ń ṣe ìdárayá tàbí ìgbìyànjú púpọ̀ láti ṣàṣeyọrí nínu ohun tí ó ń ṣe.,Iyẹ̀pẹ̀ tó kẹ́hìn iyẹ̀pẹ̀,0
