S/N,Question,Answer
1,"Parí òwe yìí
 ""gbàmí gbàmí kò yé àgbà ..........""",Ẹranko ń lé mi bọ̀ ò yẹ ọdẹ
2,"Parí òwe Yorùbá yìí
 ""A kì í n pa odù òyà lójú ọ̀tá ẹni ....""",Ọmọ ẹlẹ́bọ́rọ́ lásán lapa
3,"Kíni ìyàtọ̀ láàrin ""ìwọ̀ àti iwọ""?","ìwọ̀ - Nkan ti won fi n pa eja
 iwọ - Majele"
4,"Irúfé ìyàwó wo ni Yorùbá máa pè ní ""ìyàwó gbàmí oràmí""?",Ìyàwó tí a fẹ́ fún èrè ìwòsàn tàbí tí a fẹ́ láti ṣe àànú fun
5,"Ìlú wo ní ilẹ̀ Yorùbá ni wọ́n ti ń ṣe ọdún ""ìgogo""?",Ọ̀wọ̀ ní Ìpìnlẹ̀́ Oǹdó
7,"Kíni ọ̀rọ̀ Yorùbá fún ""lake""?",Adágún omi
8,"Ìgbó Òrà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 ""Kíni àkọlé orúkọ ọba ìlú Ìgbó Òrà?""",Olú
9,"Kíni ọ̀rọ̀ Yorùbá fún ""Flag""?",Àṣíá
10,"Irú Àwọn wo ni a máa n pè tàbí sọ ní ""málà olú""?",Àwọn Ọlọ́bàtálá
11,"Tí Yorùbá bá sọ pé a kìí rí ewú ní ọ̀sán, kíni ewú?",Òkété
12,"Parí òwe Yorùbá yìí
 Ọ̀lẹ̀ má mọ́wọ́ mi wọ̀gbẹ́",Òhun ló sọ ará oko di ewúrẹ́
13,"Parí òwe Yorùbá yìí
 ""Bí oko bá dùn n ro ní .....""",Alágbèdẹ ò ní roko tà
14,"Kíni Yorùbá n pè ní ""èkùró""?",Kòkòrò ẹ̀wà
15,"Màá fún ẹ ní ẹ̀gbàá kì í jẹ́ kí ẹ̀gbàá níyì, ẹ̀gbèrún, mélòó lọ wà ní ""ẹgbàfà""?",Mẹ́fà
16,"Kíni ìtumọ̀ òwe Yorùbá yìí ""ààlà ni yóò fi oko òlẹ hàn""?","Ààlà ló máa fi hàn pẹ́, ọ̀le ló ń ṣe iṣẹ́ oko yí"
17,"Tí Yorùbá bá sọ pé ènìyàn n ""run ìlèpa,"" kínì ìtumọ̀ àkànlò-èdè yìí?",Iyẹ̀pẹ̀ tó kẹ́hìn iyẹ̀pẹ̀
19,Irú ìyàwó wo ni Yorùbá ń pè ní ìyàwó àbètẹ́lẹ̀?,Ìyàwó tí a tọrọ láti kékeré
